Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
127441416,The Diary of a Young Girl,Anne Frank,"Frank, Anne",,"=""""","=""""",5,Bantam Books,Mass Market Paperback,256,1994,1947,,2026/04/11,,,read,,,,1,0
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,"=""1324001801""","=""9781324001805""",2,W. W. Norton & Company,Hardcover,848,2023,-800,,2026/04/11,,,read,,,,1,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",0,Simon & Schuster,Hardcover,630,2011,2011,,2026/04/11,to-read,to-read (#3),to-read,,,,0,0
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,"=""0735216355""","=""9780735216358""",0,Portfolio,Hardcover,288,2018,2018,,2026/02/21,currently-reading,currently-reading (#1),currently-reading,,,,1,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0063236400""","=""9780063236400""",5,Ecco,Hardcover,464,2024,2017,2026/02/12,2026/01/01,,,read,,,,1,0
231108670,Strangers: A Memoir of Marriage,Belle Burden,"Burden, Belle",,"=""0593733312""","=""9780593733318""",0,The Dial Press,Hardcover,256,2026,2026,,2026/01/13,to-read,to-read (#2),to-read,,,,0,0
25763894,Green Island,Shawna Yang Ryan,"Ryan, Shawna Yang",,"=""1101874252""","=""9781101874257""",5,Knopf,Hardcover,400,2016,2016,,2026/01/02,,,read,reading for masters. this book was heartbreakingly delightful. lots to be explored about how the eastern and westen views of taiwanese people differ and the concept of orphanhood in cultural identity. massive shade thrown at the oxford study. ,,,1,0
588624,Orphan of Asia (Modern Chinese Literature from Taiwan),Wu Zhuoliu,"Zhuoliu, Wu","Ioannis Mentzas, Chi Pang-Yuan","=""0231137273""","=""9780231137270""",5,Columbia University Press,Hardcover,256,2005,1945,,2026/01/02,,,read,read it for masters. its hard to find books that discuss colonial taiwan but i felt like this book did a good job expanding on the idea of the complications of multicultural identity. ,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0143039954""","=""9780143039952""",3,Penguin Classics ,Paperback,541,2006,-800,,2026/01/01,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",5,Back Bay Books,Paperback,277,2001,1951,,2026/01/01,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",5,Penguin,Paperback,532,2003,1847,,2026/01/01,,,read,,,,1,0
56916837,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",5,Harper Perennial Modern Classics,Paperback,323,2021,1960,,2026/01/01,,,read,,,,1,0
41733839,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Jesmyn Ward,"=""""","=""""",5,Scribner,Paperback,180,2018,1925,,2026/01/01,,,read,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",0,Random House,Kindle Edition,208,2016,2016,,2026/01/01,to-read,to-read (#1),to-read,,,,0,0
22674105,"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,"Kwan, Kevin",,"=""0385539088""","=""9780385539081""",4,Knopf Doubleday,Hardcover,378,2015,2015,,2026/01/01,,,read,,,,1,0
16085481,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"Kwan, Kevin",,"=""0385536976""","=""9780385536974""",4,Doubleday,Hardcover,403,2013,2013,,2026/01/01,,,read,,,,1,0
7763,The Joy Luck Club,Amy Tan,"Tan, Amy",,"=""""","=""""",4,Penguin (Non-Classics),Paperback,288,2006,1989,,2026/01/01,,,read,,,,1,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",5,Plume,Paperback,368,2022,1948,,2026/01/01,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",5,Simon & Schuster,Mass Market Paperback,249,2011,1953,,2026/01/01,,,read,one of my favorite books of all time. this book was written in the basement of powell library at UCLA and i had the honor and pleasure of sitting where it was written to read it. 10/10,,,1,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",5,Knopf,Hardcover,256,2021,2021,,2026/01/01,,,read,,,,1,0
59366244,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1982185821""","=""9781982185824""",5,Simon & Schuster,Hardcover,304,2022,2022,,2026/01/01,,,read,,,,1,0
54985743,People We Meet on Vacation,Emily Henry,"Henry, Emily",,"=""1984806750""","=""9781984806758""",3,"A Jove Book, Berkley",Paperback,361,2021,2021,,2026/01/01,,,read,,,,1,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",3,Collins,Hardcover,277,2016,2016,,2026/01/01,,,read,,,,1,0
40727626,Free Food for Millionaires,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",4,Grand Central Publishing,Kindle Edition,577,2007,2007,,2026/01/01,,,read,"A good read for a postgrad like me. Good lessons, insight, and commentary on corporate hierarchy, growing up, and love and relationships. I felt slightly disappointed by the ending and overall felt there was not a ton of character development. ",,,1,0
6383450,Wintergirls,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""014241557X""","=""9780142415573""",4,Speak,Paperback,288,2010,2009,2026/04/20,2026/04/20,,,read,,,,1,0
